URL,plt,lh_si,pagesize,numreq,fcp,domC
https://www.nmbbank.co.tz/?EXP_TYPE=ORG,120.021s,9.359,5649,205,3.801,13.634
https://tiki.vn/?EXP_TYPE=AVIF,119.812s,11.292,5511,448,1.194,14.204
https://www.hiweb.ir/?EXP_TYPE=ORG,16.547s,5.779,1270,69,4.115,15.012
https://dns-shop.ru/?EXP_TYPE=WEBP,2.798s,0.782,1,3,0.829,0.746
https://egx.com.eg/ar/homepage.aspx?EXP_TYPE=WEBP,8.997s,3.439,32,41,3.329,7.969
https://tienphong.vn/?EXP_TYPE=AVIF,120.233s,0.000,25315,3162,-,0.000
https://pna.gov.ph/?EXP_TYPE=WEBP,2.151s,2.069,49,6,2.121,2.054
https://gbiz-id.go.jp/top/?EXP_TYPE=ORG,19.920s,7.625,2114,78,4.902,16.563
https://aptus.co.tz/?EXP_TYPE=WEBP,1.825s,1.226,515,44,1.180,1.424
https://propakistani.pk/?EXP_TYPE=ORG,7.312s,4.596,1312,92,3.545,6.685
https://manap.jp/?EXP_TYPE=ORG,13.813s,6.124,1055,43,4.762,6.490
https://tienphong.vn/?EXP_TYPE=AVIF,120.103s,0.000,23807,3050,-,0.000
https://wikiwiki.jp/?EXP_TYPE=AVIF,15.097s,2.822,3359,65,2.312,5.044
https://clutch.co/?EXP_TYPE=AVIF,13.236s,1.978,769,40,1.562,5.582
https://te.eg/wps/portal/te/Personal?EXP_TYPE=AVIF,32.929s,8.859,8026,100,2.662,20.919
https://leadership.ng/?EXP_TYPE=ORG,13.156s,3.526,1108,107,3.464,4.186
https://nld.com.vn/?EXP_TYPE=AVIF,15.009s,4.914,2260,159,3.662,13.311
https://www.suza.ac.tz/?EXP_TYPE=WEBP,3.857s,3.222,779,52,1.912,3.000
https://1xbet.et/en?EXP_TYPE=ORG,27.169s,16.587,3700,113,7.431,10.943
https://pod.ir/?EXP_TYPE=WEBP,11.984s,2.083,512,35,1.996,11.478
https://www.inria.fr/fr?EXP_TYPE=AVIF,19.122s,15.351,1223,164,5.145,18.102
https://tec.mx/es?EXP_TYPE=AVIF,40.437s,24.691,5416,363,5.045,28.427
https://vietnamnet.vn/?EXP_TYPE=AVIF,41.850s,14.043,7901,261,4.926,33.456
https://www.excelsior.com.mx/?EXP_TYPE=ORG,10.116s,7.335,1107,75,3.896,9.455
https://www.dailystar.co.uk/?EXP_TYPE=ORG,29.043s,15.722,2430,154,3.495,21.949
https://dailypost.ng/?EXP_TYPE=WEBP,16.636s,6.618,1481,130,2.079,4.010
